iter	Passed	Remaining
0	0	923
1	1	857
2	2	827
3	3	810
4	4	855
5	5	865
6	6	855
7	15	1884
8	16	1793
9	17	1712
10	18	1652
11	19	1601
12	20	1555
13	21	1516
14	22	1484
15	23	1455
16	24	1435
17	25	1404
18	26	1379
19	27	1354
20	28	1330
21	29	1310
22	30	1293
23	31	1274
24	32	1263
25	33	1245
26	34	1228
27	34	1212
28	35	1200
29	36	1188
30	37	1174
31	38	1162
32	39	1154
33	40	1146
34	41	1140
35	42	1135
36	43	1128
37	44	1121
38	45	1114
39	46	1105
40	46	1098
41	47	1089
42	48	1081
43	49	1074
44	50	1068
45	51	1063
46	52	1055
47	53	1052
48	53	1044
49	54	1036
50	55	1029
51	56	1022
52	56	1015
53	58	1016
54	58	1009
55	59	1002
56	60	995
57	60	987
58	61	979
59	62	973
60	62	965
61	63	958
62	64	956
63	65	950
64	65	945
65	66	940
66	67	939
67	68	935
68	69	940
69	70	936
70	71	932
71	72	929
72	72	924
73	73	920
74	74	915
75	74	910
76	75	905
77	76	899
78	76	894
79	77	889
80	77	884
81	78	880
82	79	873
83	79	869
84	80	867
85	82	873
86	82	870
87	83	867
88	84	865
89	85	862
90	86	859
91	86	856
92	87	852
93	88	849
94	88	845
95	89	842
96	90	839
97	90	835
98	91	832
99	92	829
100	92	826
101	93	823
102	94	821
103	95	822
104	96	820
105	97	818
106	97	817
107	98	815
108	99	813
109	100	810
110	100	808
111	101	805
112	102	802
113	102	800
114	103	797
115	104	794
116	104	790
117	105	787
118	106	785
119	106	783
120	107	780
121	108	777
122	108	775
123	109	775
124	110	773
125	111	771
126	111	768
127	112	766
128	113	764
129	113	762
130	114	759
131	115	757
132	115	755
133	116	753
134	117	750
135	117	748
136	118	746
137	119	744
138	119	742
139	120	740
140	121	738
141	121	734
142	122	732
143	123	731
144	123	730
145	124	729
146	125	727
147	126	725
148	126	724
149	127	722
150	128	720
151	128	718
152	129	716
153	130	714
154	130	713
155	131	711
156	132	710
157	132	708
158	133	706
159	134	704
160	134	701
161	135	700
162	135	698
163	136	696
164	137	695
165	138	694
166	139	694
167	139	692
168	140	691
169	141	689
170	141	688
171	142	686
172	143	684
173	143	683
174	144	681
175	145	679
176	145	678
177	146	676
178	147	675
179	147	673
180	148	671
181	149	670
182	149	668
183	150	667
184	151	665
185	151	663
186	152	663
187	153	662
188	154	660
189	154	659
190	155	658
191	156	657
192	156	655
193	157	654
194	158	652
195	158	651
196	159	649
197	160	648
198	160	646
199	161	645
200	161	643
201	162	642
202	163	640
203	163	639
204	164	639
205	165	638
206	166	637
207	167	637
208	168	636
209	168	635
210	169	634
211	170	633
212	171	632
213	171	631
214	172	630
215	173	629
216	174	628
217	174	626
218	175	625
219	176	624
220	176	622
221	177	621
222	178	620
223	178	619
224	179	617
225	179	616
226	180	615
227	181	613
228	182	613
229	182	612
230	183	611
231	184	610
232	184	608
233	185	607
234	186	606
235	186	605
236	187	603
237	188	602
238	188	601
239	189	599
240	190	598
241	190	597
242	191	596
243	192	595
244	192	594
245	193	592
246	194	591
247	194	590
248	195	590
249	196	589
250	197	589
251	198	588
252	199	587
253	199	587
254	200	586
255	201	584
256	201	583
257	202	582
258	203	581
259	203	580
260	204	579
261	205	578
262	205	576
263	206	575
264	207	574
265	207	573
266	208	572
267	209	571
268	209	570
269	210	569
270	211	568
271	212	567
272	212	566
273	213	566
274	214	564
275	214	563
276	215	562
277	216	561
278	216	560
279	217	559
280	218	558
281	218	557
282	219	556
283	220	555
284	220	554
285	221	553
286	222	552
287	223	551
288	223	550
289	224	549
290	225	548
291	225	547
292	226	547
293	227	546
294	228	545
295	228	544
296	229	543
297	230	542
298	231	541
299	231	540
300	232	539
301	233	538
302	233	537
303	234	536
304	235	535
305	235	534
306	236	533
307	236	532
308	237	531
309	238	530
310	238	529
311	239	528
312	240	527
313	240	526
314	241	525
315	242	524
316	243	524
317	243	523
318	244	522
319	245	521
320	246	520
321	246	519
322	247	518
323	248	517
324	248	516
325	249	515
326	250	514
327	250	513
328	251	512
329	251	511
330	252	510
331	253	509
332	254	508
333	254	507
334	255	507
335	256	506
336	257	505
337	257	504
338	258	503
339	259	503
340	259	502
341	260	501
342	261	500
343	261	499
344	262	498
345	263	497
346	263	496
347	264	495
348	265	494
349	265	493
350	266	492
351	267	491
352	267	490
353	268	489
354	269	488
355	269	488
356	270	487
357	271	486
358	271	485
359	272	484
360	273	483
361	273	482
362	275	482
363	275	482
364	276	481
365	277	480
366	277	479
367	278	478
368	279	477
369	279	476
370	280	475
371	281	474
372	282	474
373	282	473
374	283	472
375	284	471
376	284	470
377	285	469
378	286	468
379	286	468
380	287	467
381	288	466
382	288	465
383	289	464
384	290	463
385	290	462
386	291	461
387	292	460
388	292	459
389	293	459
390	294	458
391	294	457
392	295	456
393	296	455
394	296	454
395	297	453
396	298	452
397	298	452
398	299	451
399	300	450
400	301	449
401	301	448
402	302	448
403	303	447
404	303	446
405	304	445
406	305	444
407	305	443
408	306	442
409	307	442
410	307	441
411	308	440
412	309	439
413	309	438
414	310	437
415	311	436
416	311	436
417	312	435
418	313	434
419	314	433
420	315	433
421	316	432
422	316	432
423	317	431
424	318	430
425	319	430
426	320	429
427	320	428
428	321	428
429	323	428
430	323	427
431	324	426
432	325	425
433	325	424
434	326	424
435	327	423
436	328	423
437	329	422
438	330	422
439	330	421
440	331	420
441	332	419
442	333	418
443	333	417
444	334	417
445	335	416
446	335	415
447	336	414
448	337	413
449	337	412
450	338	412
451	339	411
452	339	410
453	340	409
454	341	408
455	341	407
456	342	407
457	343	406
458	344	405
459	345	405
460	345	404
461	346	403
462	347	402
463	348	402
464	348	401
465	349	400
466	350	399
467	350	398
468	351	398
469	352	397
470	352	396
471	353	395
472	354	394
473	354	393
474	355	392
475	356	392
476	356	391
477	357	390
478	358	389
479	359	389
480	359	388
481	360	387
482	361	386
483	361	385
484	362	385
485	363	384
486	363	383
487	364	382
488	365	381
489	365	380
490	366	379
491	367	379
492	367	378
493	368	377
494	369	376
495	369	375
496	370	374
497	370	373
498	371	373
499	373	373
500	373	372
501	374	371
502	374	370
503	375	369
504	376	368
505	376	367
506	377	366
507	377	366
508	378	365
509	379	364
510	379	363
511	380	362
512	381	361
513	381	360
514	382	360
515	382	359
516	383	358
517	384	357
518	384	356
519	385	355
520	386	354
521	386	354
522	387	353
523	388	352
524	388	351
525	389	350
526	390	350
527	390	349
528	391	348
529	392	347
530	392	346
531	393	346
532	394	345
533	394	344
534	395	343
535	395	342
536	396	341
537	397	341
538	397	340
539	398	339
540	399	338
541	399	337
542	400	336
543	400	336
544	401	335
545	402	334
546	402	333
547	403	333
548	404	332
549	405	331
550	405	330
551	406	330
552	407	329
553	408	328
554	408	327
555	409	326
556	410	326
557	410	325
558	411	324
559	411	323
560	412	322
561	413	322
562	413	321
563	414	320
564	415	319
565	416	319
566	416	318
567	417	317
568	418	316
569	419	316
570	419	315
571	420	314
572	421	313
573	421	313
574	422	312
575	423	311
576	424	311
577	424	310
578	425	309
579	426	308
580	426	307
581	427	307
582	428	306
583	429	305
584	429	304
585	430	304
586	431	303
587	431	302
588	432	301
589	433	301
590	434	300
591	435	299
592	435	299
593	436	298
594	437	297
595	438	297
596	438	296
597	439	295
598	440	294
599	441	294
600	441	293
601	442	292
602	443	292
603	444	291
604	445	290
605	445	289
606	446	289
607	447	288
608	448	287
609	449	287
610	449	286
611	450	285
612	451	284
613	452	284
614	452	283
615	453	282
616	454	282
617	454	281
618	455	280
619	456	279
620	457	279
621	457	278
622	458	277
623	459	276
624	460	276
625	460	275
626	461	274
627	462	273
628	463	273
629	464	272
630	464	271
631	465	271
632	466	270
633	467	269
634	467	268
635	468	268
636	469	267
637	470	266
638	470	266
639	471	265
640	472	264
641	473	263
642	474	263
643	474	262
644	475	261
645	476	260
646	477	260
647	477	259
648	478	258
649	479	258
650	480	257
651	480	256
652	481	255
653	482	255
654	483	254
655	483	253
656	484	252
657	485	252
658	486	251
659	486	250
660	487	250
661	488	249
662	489	248
663	489	247
664	490	247
665	491	246
666	492	245
667	492	244
668	493	244
669	494	243
670	495	242
671	495	242
672	496	241
673	497	240
674	497	239
675	498	238
676	499	238
677	500	237
678	500	236
679	501	236
680	502	235
681	503	234
682	503	233
683	504	233
684	505	232
685	505	231
686	506	230
687	507	230
688	508	229
689	508	228
690	509	227
691	510	227
692	511	226
693	511	225
694	512	224
695	513	224
696	514	223
697	514	222
698	515	221
699	516	221
700	516	220
701	517	219
702	518	218
703	518	218
704	519	217
705	520	216
706	521	215
707	521	215
708	522	214
709	523	213
710	524	213
